data,nome,codigo,temperatura
2016-04-30,PASSA QUATRO,83737,
2016-05-31,PASSA QUATRO,83737,
2016-06-30,PASSA QUATRO,83737,
2016-07-31,PASSA QUATRO,83737,
2016-08-31,PASSA QUATRO,83737,
2016-09-30,PASSA QUATRO,83737,
2016-10-31,PASSA QUATRO,83737,
2016-11-30,PASSA QUATRO,83737,
2016-12-31,PASSA QUATRO,83737,
2017-01-31,PASSA QUATRO,83737,
2017-02-28,PASSA QUATRO,83737,
2017-03-31,PASSA QUATRO,83737,
2017-04-30,PASSA QUATRO,83737,
2017-05-31,PASSA QUATRO,83737,
2017-06-30,PASSA QUATRO,83737,
2017-07-31,PASSA QUATRO,83737,
2017-08-31,PASSA QUATRO,83737,
2017-09-30,PASSA QUATRO,83737,
2017-10-31,PASSA QUATRO,83737,
2017-11-30,PASSA QUATRO,83737,
2017-12-31,PASSA QUATRO,83737,
2018-01-31,PASSA QUATRO,83737,
2018-02-28,PASSA QUATRO,83737,
2018-03-31,PASSA QUATRO,83737,
2018-04-30,PASSA QUATRO,83737,
2018-05-31,PASSA QUATRO,83737,
2018-06-30,PASSA QUATRO,83737,
2018-07-31,PASSA QUATRO,83737,
2018-08-31,PASSA QUATRO,83737,
2018-09-30,PASSA QUATRO,83737,
2018-10-31,PASSA QUATRO,83737,
2018-11-30,PASSA QUATRO,83737,
2018-12-31,PASSA QUATRO,83737,
2019-01-31,PASSA QUATRO,83737,
2019-02-28,PASSA QUATRO,83737,
2019-03-31,PASSA QUATRO,83737,
2019-04-30,PASSA QUATRO,83737,
2019-05-31,PASSA QUATRO,83737,
2019-06-30,PASSA QUATRO,83737,
2019-07-31,PASSA QUATRO,83737,
2019-08-31,PASSA QUATRO,83737,
2019-09-30,PASSA QUATRO,83737,
2019-10-31,PASSA QUATRO,83737,
2019-11-30,PASSA QUATRO,83737,
2019-12-31,PASSA QUATRO,83737,
2020-01-31,PASSA QUATRO,83737,
2020-02-29,PASSA QUATRO,83737,
2020-03-31,PASSA QUATRO,83737,
2020-04-30,PASSA QUATRO,83737,
2020-05-31,PASSA QUATRO,83737,
2020-06-30,PASSA QUATRO,83737,
2020-07-31,PASSA QUATRO,83737,
2020-08-31,PASSA QUATRO,83737,
2020-09-30,PASSA QUATRO,83737,
2020-10-31,PASSA QUATRO,83737,
2020-11-30,PASSA QUATRO,83737,
2020-12-31,PASSA QUATRO,83737,
2021-01-31,PASSA QUATRO,83737,
2021-02-28,PASSA QUATRO,83737,
2021-03-31,PASSA QUATRO,83737,
2021-04-30,PASSA QUATRO,83737,
2021-05-31,PASSA QUATRO,83737,
2021-06-30,PASSA QUATRO,83737,
2021-07-31,PASSA QUATRO,83737,
2021-08-31,PASSA QUATRO,83737,
2021-09-30,PASSA QUATRO,83737,
2021-10-31,PASSA QUATRO,83737,
2021-11-30,PASSA QUATRO,83737,
2021-12-31,PASSA QUATRO,83737,
2022-01-31,PASSA QUATRO,83737,
2022-02-28,PASSA QUATRO,83737,
2022-03-31,PASSA QUATRO,83737,
2022-04-30,PASSA QUATRO,83737,
2022-05-31,PASSA QUATRO,83737,
2022-06-30,PASSA QUATRO,83737,
2022-07-31,PASSA QUATRO,83737,
2022-08-31,PASSA QUATRO,83737,
2022-09-30,PASSA QUATRO,83737,
2022-10-31,PASSA QUATRO,83737,
2022-11-30,PASSA QUATRO,83737,
2022-12-31,PASSA QUATRO,83737,
2023-01-31,PASSA QUATRO,83737,
2023-02-28,PASSA QUATRO,83737,
2023-03-31,PASSA QUATRO,83737,
2023-04-30,PASSA QUATRO,83737,
2023-05-31,PASSA QUATRO,83737,
2023-06-30,PASSA QUATRO,83737,
2023-07-31,PASSA QUATRO,83737,
2023-08-31,PASSA QUATRO,83737,
2023-09-30,PASSA QUATRO,83737,
2023-10-31,PASSA QUATRO,83737,
2023-11-30,PASSA QUATRO,83737,
2003-01-31,PIRAPORA,83483,25.258065
2003-02-28,PIRAPORA,83483,26.595
2003-03-31,PIRAPORA,83483,25.849333
2003-04-30,PIRAPORA,83483,24.974667
2003-05-31,PIRAPORA,83483,21.974839
2003-06-30,PIRAPORA,83483,20.468
2003-07-31,PIRAPORA,83483,20.547097
2003-08-31,PIRAPORA,83483,23.458065
2003-09-30,PIRAPORA,83483,25.219333
2003-10-31,PIRAPORA,83483,26.310323
2003-11-30,PIRAPORA,83483,26.340667
2003-12-31,PIRAPORA,83483,27.150968
2004-01-31,PIRAPORA,83483,25.349677
2004-02-29,PIRAPORA,83483,24.573793
2004-03-31,PIRAPORA,83483,24.614839
2004-04-30,PIRAPORA,83483,23.542667
2004-05-31,PIRAPORA,83483,22.995484
2004-06-30,PIRAPORA,83483,20.216
2004-07-31,PIRAPORA,83483,19.856129
2004-08-31,PIRAPORA,83483,22.176129
2004-09-30,PIRAPORA,83483,25.798667
2004-10-31,PIRAPORA,83483,27.443871
2004-11-30,PIRAPORA,83483,27.224667
2004-12-31,PIRAPORA,83483,25.396774
2005-01-31,PIRAPORA,83483,25.68129
2005-02-28,PIRAPORA,83483,25.347857
2005-03-31,PIRAPORA,83483,25.228387
2005-04-30,PIRAPORA,83483,25.240667
2005-05-31,PIRAPORA,83483,22.338065
2005-06-30,PIRAPORA,83483,21.175333
2005-07-31,PIRAPORA,83483,20.926452
2005-08-31,PIRAPORA,83483,23.711613
2005-09-30,PIRAPORA,83483,26.083333
2005-10-31,PIRAPORA,83483,29.025806
2005-11-30,PIRAPORA,83483,24.344
2005-12-31,PIRAPORA,83483,24.342581
2006-01-31,PIRAPORA,83483,26.44129
2006-02-28,PIRAPORA,83483,27.207143
2006-03-31,PIRAPORA,83483,25.124516
2006-04-30,PIRAPORA,83483,24.022667
2006-05-31,PIRAPORA,83483,21.185806
2006-06-30,PIRAPORA,83483,20.191333
2006-07-31,PIRAPORA,83483,19.935484
2006-08-31,PIRAPORA,83483,23.651613
2006-09-30,PIRAPORA,83483,24.935333
2006-10-31,PIRAPORA,83483,24.669032
2006-11-30,PIRAPORA,83483,24.359333
2006-12-31,PIRAPORA,83483,24.950323
2007-01-31,PIRAPORA,83483,25.441935
2007-02-28,PIRAPORA,83483,24.757143
2007-03-31,PIRAPORA,83483,25.707097
2007-04-30,PIRAPORA,83483,24.959333
2007-05-31,PIRAPORA,83483,22.523871
2007-06-30,PIRAPORA,83483,21.06
2007-07-31,PIRAPORA,83483,21.559355
2007-08-31,PIRAPORA,83483,22.546452
2007-09-30,PIRAPORA,83483,25.428
2007-10-31,PIRAPORA,83483,27.871613
2007-11-30,PIRAPORA,83483,27.824
2007-12-31,PIRAPORA,83483,26.062581
2008-01-31,PIRAPORA,83483,25.535484
2008-02-29,PIRAPORA,83483,25.61931
2008-03-31,PIRAPORA,83483,24.583871
2008-04-30,PIRAPORA,83483,24.867333
2008-05-31,PIRAPORA,83483,21.894194
2008-06-30,PIRAPORA,83483,21.136667
2008-07-31,PIRAPORA,83483,19.834839
2008-08-31,PIRAPORA,83483,23.234839
2008-09-30,PIRAPORA,83483,25.48
2008-10-31,PIRAPORA,83483,28.534194
2008-11-30,PIRAPORA,83483,25.937333
2008-12-31,PIRAPORA,83483,24.903871
2009-01-31,PIRAPORA,83483,25.563871
2009-02-28,PIRAPORA,83483,26.116429
2009-03-31,PIRAPORA,83483,25.913548
2009-04-30,PIRAPORA,83483,24.068
2009-05-31,PIRAPORA,83483,22.115484
2009-06-30,PIRAPORA,83483,21.24
2009-07-31,PIRAPORA,83483,22.262
2009-08-31,PIRAPORA,83483,23.25871
2009-09-30,PIRAPORA,83483,26.629333
2009-10-31,PIRAPORA,83483,26.154839
2009-11-30,PIRAPORA,83483,26.665333
2009-12-31,PIRAPORA,83483,24.75871
2010-01-31,PIRAPORA,83483,26.314839
2010-02-28,PIRAPORA,83483,27.329286
2010-03-31,PIRAPORA,83483,25.823871
2010-04-30,PIRAPORA,83483,23.750667
2010-05-31,PIRAPORA,83483,23.18129
2010-06-30,PIRAPORA,83483,19.94
2010-07-31,PIRAPORA,83483,21.825161
2010-08-31,PIRAPORA,83483,21.828387
2010-09-30,PIRAPORA,83483,25.692667
2010-10-31,PIRAPORA,83483,27.209032
2010-11-30,PIRAPORA,83483,25.067333
2010-12-31,PIRAPORA,83483,26.256129
2011-01-31,PIRAPORA,83483,26.020645
2011-02-28,PIRAPORA,83483,27.543571
2011-03-31,PIRAPORA,83483,24.937419
2011-04-30,PIRAPORA,83483,24.352667
2011-05-31,PIRAPORA,83483,21.940645
2011-06-30,PIRAPORA,83483,20.843333
2011-07-31,PIRAPORA,83483,20.850968
2011-08-31,PIRAPORA,83483,23.665806
2011-09-30,PIRAPORA,83483,25.231333
2011-10-31,PIRAPORA,83483,24.869032
2011-11-30,PIRAPORA,83483,24.291333
2011-12-31,PIRAPORA,83483,24.290323
2012-01-31,PIRAPORA,83483,24.96129
2012-02-29,PIRAPORA,83483,26.225517
2012-03-31,PIRAPORA,83483,25.487097
2012-04-30,PIRAPORA,83483,25.358667
2012-05-31,PIRAPORA,83483,22.528387
2012-06-30,PIRAPORA,83483,22.636
2012-07-31,PIRAPORA,83483,21.632258
2012-08-31,PIRAPORA,83483,22.460645
2012-09-30,PIRAPORA,83483,25.581333
2012-10-31,PIRAPORA,83483,27.983871
2012-11-30,PIRAPORA,83483,25.278
2012-12-31,PIRAPORA,83483,27.702581
2013-01-31,PIRAPORA,83483,25.550968
2013-02-28,PIRAPORA,83483,26.665714
2013-03-31,PIRAPORA,83483,26.212258
2013-04-30,PIRAPORA,83483,23.80069
2013-05-31,PIRAPORA,83483,22.6
2013-06-30,PIRAPORA,83483,22.0376
2013-07-31,PIRAPORA,83483,
2013-08-31,PIRAPORA,83483,24.32
2013-09-30,PIRAPORA,83483,26.02
2013-10-31,PIRAPORA,83483,26.011538
2013-11-30,PIRAPORA,83483,26.611538
2013-12-31,PIRAPORA,83483,25.256
2014-01-31,PIRAPORA,83483,26.183846
2014-02-28,PIRAPORA,83483,26.799091
2014-03-31,PIRAPORA,83483,26.353333
2014-04-30,PIRAPORA,83483,25.405833
2014-05-31,PIRAPORA,83483,22.845833
2014-06-30,PIRAPORA,83483,21.8992
2014-07-31,PIRAPORA,83483,21.7325
2014-08-31,PIRAPORA,83483,
2014-09-30,PIRAPORA,83483,26.602
2014-10-31,PIRAPORA,83483,26.965714
2014-11-30,PIRAPORA,83483,26.115
2014-12-31,PIRAPORA,83483,25.704348
2015-01-31,PIRAPORA,83483,
2015-02-28,PIRAPORA,83483,25.840909
2015-03-31,PIRAPORA,83483,25.777692
2015-04-30,PIRAPORA,83483,25.485714
2015-05-31,PIRAPORA,83483,23.3224
2015-06-30,PIRAPORA,83483,22.596667
2015-07-31,PIRAPORA,83483,23.074815
2015-08-31,PIRAPORA,83483,24.078462
2015-09-30,PIRAPORA,83483,27.938333
2015-10-31,PIRAPORA,83483,29.8344
2015-11-30,PIRAPORA,83483,29.219167
2015-12-31,PIRAPORA,83483,27.744615
2016-01-31,PIRAPORA,83483,
2016-02-29,PIRAPORA,83483,27.7425
2016-03-31,PIRAPORA,83483,26.297273
2016-04-30,PIRAPORA,83483,26.1832
2016-05-31,PIRAPORA,83483,24.0776
2016-06-30,PIRAPORA,83483,22.262222
2016-07-31,PIRAPORA,83483,22.6064
2016-08-31,PIRAPORA,83483,24.222222
2016-09-30,PIRAPORA,83483,27.464
2016-10-31,PIRAPORA,83483,28.304167
2016-11-30,PIRAPORA,83483,
2016-12-31,PIRAPORA,83483,
2017-01-31,PIRAPORA,83483,
2017-02-28,PIRAPORA,83483,
2017-03-31,PIRAPORA,83483,
2017-04-30,PIRAPORA,83483,
2017-05-31,PIRAPORA,83483,
2017-06-30,PIRAPORA,83483,
2017-07-31,PIRAPORA,83483,
2017-08-31,PIRAPORA,83483,
2017-09-30,PIRAPORA,83483,
2017-10-31,PIRAPORA,83483,
2017-11-30,PIRAPORA,83483,
2017-12-31,PIRAPORA,83483,
2018-01-31,PIRAPORA,83483,
2018-02-28,PIRAPORA,83483,
2018-03-31,PIRAPORA,83483,
2018-04-30,PIRAPORA,83483,
2018-05-31,PIRAPORA,83483,
2018-06-30,PIRAPORA,83483,
2018-07-31,PIRAPORA,83483,
2018-08-31,PIRAPORA,83483,
2018-09-30,PIRAPORA,83483,
2018-10-31,PIRAPORA,83483,
2018-11-30,PIRAPORA,83483,
2018-12-31,PIRAPORA,83483,
2019-01-31,PIRAPORA,83483,
2019-02-28,PIRAPORA,83483,
2019-03-31,PIRAPORA,83483,
2019-04-30,PIRAPORA,83483,
2019-05-31,PIRAPORA,83483,
2019-06-30,PIRAPORA,83483,
2019-07-31,PIRAPORA,83483,
2019-08-31,PIRAPORA,83483,
2019-09-30,PIRAPORA,83483,
2019-10-31,PIRAPORA,83483,
2003-01-31,C. DO MATO DENTRO,83589,23.787097
2003-02-28,C. DO MATO DENTRO,83589,23.914286
2003-03-31,C. DO MATO DENTRO,83589,23.234839
2003-04-30,C. DO MATO DENTRO,83589,21.844
2003-05-31,C. DO MATO DENTRO,83589,18.138065
2003-06-30,C. DO MATO DENTRO,83589,16.430345
2003-07-31,C. DO MATO DENTRO,83589,16.151613
2003-08-31,C. DO MATO DENTRO,83589,18.475714
2003-09-30,C. DO MATO DENTRO,83589,20.168276
2003-10-31,C. DO MATO DENTRO,83589,22.415172
2003-11-30,C. DO MATO DENTRO,83589,22.82
2003-12-31,C. DO MATO DENTRO,83589,23.84129
2004-01-31,C. DO MATO DENTRO,83589,23.138065
2004-02-29,C. DO MATO DENTRO,83589,22.511034
2004-03-31,C. DO MATO DENTRO,83589,22.285806
2004-04-30,C. DO MATO DENTRO,83589,21.192667
2004-05-31,C. DO MATO DENTRO,83589,20.415484
2004-06-30,C. DO MATO DENTRO,83589,17.286
2004-07-31,C. DO MATO DENTRO,83589,16.257419
2004-08-31,C. DO MATO DENTRO,83589,17.059355
2004-09-30,C. DO MATO DENTRO,83589,19.847333
2004-10-31,C. DO MATO DENTRO,83589,22.854839
2004-11-30,C. DO MATO DENTRO,83589,23.687333
2004-12-31,C. DO MATO DENTRO,83589,23.149032
2005-01-31,C. DO MATO DENTRO,83589,23.798065
2005-02-28,C. DO MATO DENTRO,83589,23.216429
2005-03-31,C. DO MATO DENTRO,83589,23.254839
2005-04-30,C. DO MATO DENTRO,83589,21.81
2005-05-31,C. DO MATO DENTRO,83589,19.586452
2005-06-30,C. DO MATO DENTRO,83589,18.174286
2005-07-31,C. DO MATO DENTRO,83589,16.808387
2005-08-31,C. DO MATO DENTRO,83589,18.76
2005-09-30,C. DO MATO DENTRO,83589,21.158
2005-10-31,C. DO MATO DENTRO,83589,23.807097
2005-11-30,C. DO MATO DENTRO,83589,21.602667
2005-12-31,C. DO MATO DENTRO,83589,22.151613
2006-01-31,C. DO MATO DENTRO,83589,23.743226
2006-02-28,C. DO MATO DENTRO,83589,24.731429
2006-03-31,C. DO MATO DENTRO,83589,23.369032
2006-04-30,C. DO MATO DENTRO,83589,21.534667
2006-05-31,C. DO MATO DENTRO,83589,18.137419
2006-06-30,C. DO MATO DENTRO,83589,16.370667
2006-07-31,C. DO MATO DENTRO,83589,15.767742
2006-08-31,C. DO MATO DENTRO,83589,18.376129
2006-09-30,C. DO MATO DENTRO,83589,19.845333
2006-10-31,C. DO MATO DENTRO,83589,22.256129
2006-11-30,C. DO MATO DENTRO,83589,22.209333
2006-12-31,C. DO MATO DENTRO,83589,23.201935
2007-01-31,C. DO MATO DENTRO,83589,23.804516
2007-02-28,C. DO MATO DENTRO,83589,23.383571
2007-03-31,C. DO MATO DENTRO,83589,23.326452
2007-04-30,C. DO MATO DENTRO,83589,22.028
2007-05-31,C. DO MATO DENTRO,83589,18.750968
2007-06-30,C. DO MATO DENTRO,83589,16.947333
2007-07-31,C. DO MATO DENTRO,83589,16.876774
2007-08-31,C. DO MATO DENTRO,83589,17.668387
2007-09-30,C. DO MATO DENTRO,83589,20.363333
2007-10-31,C. DO MATO DENTRO,83589,23.433548
2007-11-30,C. DO MATO DENTRO,83589,23.964
2007-12-31,C. DO MATO DENTRO,83589,23.936129
2008-01-31,C. DO MATO DENTRO,83589,23.019355
2008-02-29,C. DO MATO DENTRO,83589,23.643448
2008-03-31,C. DO MATO DENTRO,83589,23.02
2008-04-30,C. DO MATO DENTRO,83589,22.293077
2008-05-31,C. DO MATO DENTRO,83589,18.061935
2008-06-30,C. DO MATO DENTRO,83589,17.078667
2008-07-31,C. DO MATO DENTRO,83589,15.34
2008-08-31,C. DO MATO DENTRO,83589,18.340645
2008-09-30,C. DO MATO DENTRO,83589,20.335
2008-10-31,C. DO MATO DENTRO,83589,22.90129
2008-11-30,C. DO MATO DENTRO,83589,22.322069
2008-12-31,C. DO MATO DENTRO,83589,22.685517
2009-01-31,C. DO MATO DENTRO,83589,23.566
2009-02-28,C. DO MATO DENTRO,83589,23.941538
2009-03-31,C. DO MATO DENTRO,83589,23.84963
2009-04-30,C. DO MATO DENTRO,83589,21.630667
2009-05-31,C. DO MATO DENTRO,83589,18.895484
2009-06-30,C. DO MATO DENTRO,83589,18.025333
2009-07-31,C. DO MATO DENTRO,83589,17.998065
2009-08-31,C. DO MATO DENTRO,83589,18.617419
2009-09-30,C. DO MATO DENTRO,83589,21.996
2009-10-31,C. DO MATO DENTRO,83589,22.624516
2009-11-30,C. DO MATO DENTRO,83589,23.932667
2009-12-31,C. DO MATO DENTRO,83589,23.199333
2010-01-31,C. DO MATO DENTRO,83589,24.41871
2010-02-28,C. DO MATO DENTRO,83589,24.518571
2010-03-31,C. DO MATO DENTRO,83589,24.005161
2010-04-30,C. DO MATO DENTRO,83589,21.233333
2010-05-31,C. DO MATO DENTRO,83589,19.810323
2010-06-30,C. DO MATO DENTRO,83589,15.976
2010-07-31,C. DO MATO DENTRO,83589,17.593548
2010-08-31,C. DO MATO DENTRO,83589,16.814839
2010-09-30,C. DO MATO DENTRO,83589,20.255172
2010-10-31,C. DO MATO DENTRO,83589,22.204516
2010-11-30,C. DO MATO DENTRO,83589,22.615333
2010-12-31,C. DO MATO DENTRO,83589,24.034194
2011-01-31,C. DO MATO DENTRO,83589,23.965806
2011-02-28,C. DO MATO DENTRO,83589,24.545714
2011-03-31,C. DO MATO DENTRO,83589,23.036774
2011-04-30,C. DO MATO DENTRO,83589,21.911333
2011-05-31,C. DO MATO DENTRO,83589,18.491613
2011-06-30,C. DO MATO DENTRO,83589,17.102
2011-07-31,C. DO MATO DENTRO,83589,16.538065
2011-08-31,C. DO MATO DENTRO,83589,18.840667
2011-09-30,C. DO MATO DENTRO,83589,19.737333
2011-10-31,C. DO MATO DENTRO,83589,21.019355
2011-11-30,C. DO MATO DENTRO,83589,21.144
2011-12-31,C. DO MATO DENTRO,83589,22.672903
2012-01-31,C. DO MATO DENTRO,83589,22.884516
2012-02-29,C. DO MATO DENTRO,83589,23.425
2012-03-31,C. DO MATO DENTRO,83589,22.53871
2012-04-30,C. DO MATO DENTRO,83589,22.332667
2012-05-31,C. DO MATO DENTRO,83589,19.226452
2012-06-30,C. DO MATO DENTRO,83589,18.854
2012-07-31,C. DO MATO DENTRO,83589,17.511613
2012-08-31,C. DO MATO DENTRO,83589,17.934194
2012-09-30,C. DO MATO DENTRO,83589,20.691333
2012-10-31,C. DO MATO DENTRO,83589,22.572903
2012-11-30,C. DO MATO DENTRO,83589,22.741333
2012-12-31,C. DO MATO DENTRO,83589,24.588387
2013-01-31,C. DO MATO DENTRO,83589,23.453548
2013-02-28,C. DO MATO DENTRO,83589,23.618571
2013-03-31,C. DO MATO DENTRO,83589,23.452258
2013-04-30,C. DO MATO DENTRO,83589,21.246
2013-05-31,C. DO MATO DENTRO,83589,19.126667
2013-06-30,C. DO MATO DENTRO,83589,18.578
2013-07-31,C. DO MATO DENTRO,83589,18.114
2013-08-31,C. DO MATO DENTRO,83589,18.154194
2013-09-30,C. DO MATO DENTRO,83589,20.518
2013-10-31,C. DO MATO DENTRO,83589,21.542581
2013-11-30,C. DO MATO DENTRO,83589,22.966
2013-12-31,C. DO MATO DENTRO,83589,23.663871
2014-01-31,C. DO MATO DENTRO,83589,23.977333
2014-02-28,C. DO MATO DENTRO,83589,23.749286
2014-03-31,C. DO MATO DENTRO,83589,22.99871
2014-04-30,C. DO MATO DENTRO,83589,22.438
2014-05-31,C. DO MATO DENTRO,83589,19.162
2014-06-30,C. DO MATO DENTRO,83589,17.742857
2014-07-31,C. DO MATO DENTRO,83589,17.47871
2014-08-31,C. DO MATO DENTRO,83589,18.165161
2014-09-30,C. DO MATO DENTRO,83589,21.084444
2014-10-31,C. DO MATO DENTRO,83589,22.265161
2014-11-30,C. DO MATO DENTRO,83589,22.949333
2014-12-31,C. DO MATO DENTRO,83589,23.642581
2015-01-31,C. DO MATO DENTRO,83589,24.884516
2015-02-28,C. DO MATO DENTRO,83589,23.785714
2015-03-31,C. DO MATO DENTRO,83589,23.749032
2015-04-30,C. DO MATO DENTRO,83589,21.870345
2015-05-31,C. DO MATO DENTRO,83589,19.826452
2015-06-30,C. DO MATO DENTRO,83589,18.076429
2015-07-31,C. DO MATO DENTRO,83589,17.728387
2015-08-31,C. DO MATO DENTRO,83589,18.671613
2015-09-30,C. DO MATO DENTRO,83589,22.574815
2015-10-31,C. DO MATO DENTRO,83589,24.476774
2015-11-30,C. DO MATO DENTRO,83589,25.485714
2015-12-31,C. DO MATO DENTRO,83589,24.599355
2016-01-31,C. DO MATO DENTRO,83589,23.790323
2016-02-29,C. DO MATO DENTRO,83589,24.755862
2016-03-31,C. DO MATO DENTRO,83589,23.678065
2016-04-30,C. DO MATO DENTRO,83589,22.513333
2016-05-31,C. DO MATO DENTRO,83589,19.899355
2016-06-30,C. DO MATO DENTRO,83589,17.976
2016-07-31,C. DO MATO DENTRO,83589,18.039355
2016-08-31,C. DO MATO DENTRO,83589,18.967097
2016-09-30,C. DO MATO DENTRO,83589,22.078
2016-10-31,C. DO MATO DENTRO,83589,23.762
2016-11-30,C. DO MATO DENTRO,83589,23.234667
2016-12-31,C. DO MATO DENTRO,83589,23.522581
2017-01-31,C. DO MATO DENTRO,83589,24.294839
2017-02-28,C. DO MATO DENTRO,83589,22.985714
2017-03-31,C. DO MATO DENTRO,83589,22.917419
2017-04-30,C. DO MATO DENTRO,83589,21.384
2017-05-31,C. DO MATO DENTRO,83589,19.634839
2017-06-30,C. DO MATO DENTRO,83589,18.248667
2017-07-31,C. DO MATO DENTRO,83589,16.522581
2017-08-31,C. DO MATO DENTRO,83589,17.566452
2017-09-30,C. DO MATO DENTRO,83589,20.030769
2017-10-31,C. DO MATO DENTRO,83589,23.352258
2017-11-30,C. DO MATO DENTRO,83589,22.521333
2017-12-31,C. DO MATO DENTRO,83589,23.683226
2018-01-31,C. DO MATO DENTRO,83589,24.539333
2018-02-28,C. DO MATO DENTRO,83589,23.482857
2018-03-31,C. DO MATO DENTRO,83589,23.585806
2018-04-30,C. DO MATO DENTRO,83589,21.126667
2018-05-31,C. DO MATO DENTRO,83589,18.850968
2018-06-30,C. DO MATO DENTRO,83589,18.578
2018-07-31,C. DO MATO DENTRO,83589,16.908387
2018-08-31,C. DO MATO DENTRO,83589,18.909677
2018-09-30,C. DO MATO DENTRO,83589,21.073333
2018-10-31,C. DO MATO DENTRO,83589,23.763704
2018-11-30,C. DO MATO DENTRO,83589,22.653333
2018-12-31,C. DO MATO DENTRO,83589,23.664516
2019-01-31,C. DO MATO DENTRO,83589,25.068387
2019-02-28,C. DO MATO DENTRO,83589,24.762143
2019-03-31,C. DO MATO DENTRO,83589,23.833548
2019-04-30,C. DO MATO DENTRO,83589,23.308667
2019-05-31,C. DO MATO DENTRO,83589,21.398667
2019-06-30,C. DO MATO DENTRO,83589,
2019-07-31,C. DO MATO DENTRO,83589,16.795333
2019-08-31,C. DO MATO DENTRO,83589,18.838
2019-09-30,C. DO MATO DENTRO,83589,21.839333
2019-10-31,C. DO MATO DENTRO,83589,23.754194
2019-11-30,C. DO MATO DENTRO,83589,24.431333
2019-12-31,C. DO MATO DENTRO,83589,24.29871
2020-01-31,C. DO MATO DENTRO,83589,24.845806
2020-02-29,C. DO MATO DENTRO,83589,24.095862
2020-03-31,C. DO MATO DENTRO,83589,22.662759
2020-04-30,C. DO MATO DENTRO,83589,22.196
2020-05-31,C. DO MATO DENTRO,83589,
2020-06-30,C. DO MATO DENTRO,83589,17.924667
2020-07-31,C. DO MATO DENTRO,83589,17.933333
2020-08-31,C. DO MATO DENTRO,83589,17.890323
2020-09-30,C. DO MATO DENTRO,83589,21.154
2020-10-31,C. DO MATO DENTRO,83589,22.898667
2020-11-30,C. DO MATO DENTRO,83589,
2020-12-31,C. DO MATO DENTRO,83589,23.702581
2021-01-31,C. DO MATO DENTRO,83589,23.907742
2021-02-28,C. DO MATO DENTRO,83589,23.033571
2021-03-31,C. DO MATO DENTRO,83589,22.994194
2021-04-30,C. DO MATO DENTRO,83589,21.098667
2021-05-31,C. DO MATO DENTRO,83589,19.146452
2021-06-30,C. DO MATO DENTRO,83589,17.642143
2021-07-31,C. DO MATO DENTRO,83589,15.975333
2021-08-31,C. DO MATO DENTRO,83589,17.414074
2021-09-30,C. DO MATO DENTRO,83589,22.429167
2021-10-31,C. DO MATO DENTRO,83589,22.988
2021-11-30,C. DO MATO DENTRO,83589,22.753793
2021-12-31,C. DO MATO DENTRO,83589,22.843704
2022-01-31,C. DO MATO DENTRO,83589,23.918462
2022-02-28,C. DO MATO DENTRO,83589,23.342222
2022-03-31,C. DO MATO DENTRO,83589,23.766923
2022-04-30,C. DO MATO DENTRO,83589,23.1256
2022-05-31,C. DO MATO DENTRO,83589,19.02
2022-06-30,C. DO MATO DENTRO,83589,18.126667
2022-07-31,C. DO MATO DENTRO,83589,17.638095
2022-08-31,C. DO MATO DENTRO,83589,18.563704
2022-09-30,C. DO MATO DENTRO,83589,20.804615
2022-10-31,C. DO MATO DENTRO,83589,22.972
2022-11-30,C. DO MATO DENTRO,83589,21.644615
2022-12-31,C. DO MATO DENTRO,83589,22.554667
2023-01-31,C. DO MATO DENTRO,83589,23.3296
2023-02-28,C. DO MATO DENTRO,83589,24.187273
2023-03-31,C. DO MATO DENTRO,83589,23.727692
2023-04-30,C. DO MATO DENTRO,83589,22.614167
2023-05-31,C. DO MATO DENTRO,83589,20.110769
2023-06-30,C. DO MATO DENTRO,83589,18.2984
2023-07-31,C. DO MATO DENTRO,83589,18.61
2023-08-31,C. DO MATO DENTRO,83589,20.33037
2023-09-30,C. DO MATO DENTRO,83589,
2023-10-31,C. DO MATO DENTRO,83589,24.875
2023-11-30,C. DO MATO DENTRO,83589,25.326154
2003-01-31,JOAO MONLEVADE,83591,
2003-02-28,JOAO MONLEVADE,83591,
2003-03-31,JOAO MONLEVADE,83591,
2003-04-30,JOAO MONLEVADE,83591,
2003-05-31,JOAO MONLEVADE,83591,
2003-06-30,JOAO MONLEVADE,83591,
2003-07-31,JOAO MONLEVADE,83591,
2003-08-31,JOAO MONLEVADE,83591,
2003-09-30,JOAO MONLEVADE,83591,
2003-10-31,JOAO MONLEVADE,83591,
2003-11-30,JOAO MONLEVADE,83591,
2003-12-31,JOAO MONLEVADE,83591,
2004-01-31,JOAO MONLEVADE,83591,
2004-02-29,JOAO MONLEVADE,83591,
2004-03-31,JOAO MONLEVADE,83591,
2004-04-30,JOAO MONLEVADE,83591,
2004-05-31,JOAO MONLEVADE,83591,
2004-06-30,JOAO MONLEVADE,83591,
2004-07-31,JOAO MONLEVADE,83591,
2004-08-31,JOAO MONLEVADE,83591,
2004-09-30,JOAO MONLEVADE,83591,
2004-10-31,JOAO MONLEVADE,83591,
2004-11-30,JOAO MONLEVADE,83591,
2004-12-31,JOAO MONLEVADE,83591,
2005-01-31,JOAO MONLEVADE,83591,
